organization_city,report_issue_date,exam_num,diagnoise_num
丽水市,2022-06-18,45,30
丽水市,2022-06-19,106,76
丽水市,2022-06-21,3,2
丽水市,2022-06-22,126,84
丽水市,2022-06-23,131,105
丽水市,2022-06-24,44,7
丽水市,2022-06-25,53,2
丽水市,2022-06-27,2,1
丽水市,2022-06-28,19,8
丽水市,2022-06-29,27,16
丽水市,2022-07-01,8,8
丽水市,2022-07-02,176,135
丽水市,2022-07-03,179,27
丽水市,2022-07-04,258,144
丽水市,2022-07-05,177,119
丽水市,2022-07-06,386,115
丽水市,2022-07-07,190,123
丽水市,2022-07-08,163,119
丽水市,2022-07-09,36,31
丽水市,2022-07-10,20,13
丽水市,2022-07-11,105,95
丽水市,2022-07-12,68,52
丽水市,2022-07-13,113,81
丽水市,2022-07-14,232,154
丽水市,2022-07-15,46,29
丽水市,2022-07-16,71,63
丽水市,2022-07-17,82,70
丽水市,2022-07-18,7,3
丽水市,2022-07-19,6,4
丽水市,2022-07-20,8,8
丽水市,2022-07-21,81,21
丽水市,2022-07-22,64,47
丽水市,2022-07-23,14,13
丽水市,2022-07-24,1,1
丽水市,2022-07-25,50,18
丽水市,2022-07-26,8,2
丽水市,2022-07-27,211,69
丽水市,2022-07-28,169,125
丽水市,2022-07-29,128,102
丽水市,2022-07-30,127,102
丽水市,2022-07-31,37,35
丽水市,2022-08-01,7,3
丽水市,2022-08-02,40,20
丽水市,2022-08-03,68,37
丽水市,2022-08-04,128,93
丽水市,2022-08-05,60,36
丽水市,2022-08-06,113,80
丽水市,2022-08-07,3,3
丽水市,2022-08-08,28,15
丽水市,2022-08-09,161,131
丽水市,2022-08-10,76,63
丽水市,2022-08-11,154,133
丽水市,2022-08-12,100,64
丽水市,2022-08-13,227,151
丽水市,2022-08-14,105,80
丽水市,2022-08-15,61,52
丽水市,2022-08-16,32,27
丽水市,2022-08-17,56,49
丽水市,2022-08-18,33,24
丽水市,2022-08-19,37,16
丽水市,2022-08-20,94,74
丽水市,2022-08-21,45,25
丽水市,2022-08-22,14,6
丽水市,2022-08-23,30,3
丽水市,2022-08-24,73,52
丽水市,2022-08-25,49,27
丽水市,2022-08-26,34,16
丽水市,2022-08-27,63,24
丽水市,2022-08-29,67,65
丽水市,2022-08-30,101,56
丽水市,2022-08-31,128,74
丽水市,2022-09-01,38,23
丽水市,2022-09-02,168,127
丽水市,2022-09-03,38,24
丽水市,2022-09-04,34,13
丽水市,2022-09-05,237,58
丽水市,2022-09-06,122,54
丽水市,2022-09-07,60,47
丽水市,2022-09-08,56,46
丽水市,2022-09-09,222,173
丽水市,2022-09-10,8,6
丽水市,2022-09-12,67,46
丽水市,2022-09-13,255,155
丽水市,2022-09-14,170,92
丽水市,2022-09-15,64,40
丽水市,2022-09-16,49,30
丽水市,2022-09-17,98,70
丽水市,2022-09-18,345,240
丽水市,2022-09-19,127,110
丽水市,2022-09-20,225,129
丽水市,2022-09-21,87,75
丽水市,2022-09-22,156,142
丽水市,2022-09-23,53,37
丽水市,2022-09-24,46,38
丽水市,2022-09-25,12,10
丽水市,2022-09-26,55,37
丽水市,2022-09-27,27,16
丽水市,2022-09-28,126,108
丽水市,2022-09-29,218,191
丽水市,2022-09-30,46,40
丽水市,2022-10-05,74,63
丽水市,2022-10-06,27,23
丽水市,2022-10-07,16,14
丽水市,2022-10-08,276,249
丽水市,2022-10-09,56,42
丽水市,2022-10-10,41,37
丽水市,2022-10-11,76,64
丽水市,2022-10-12,20,14
丽水市,2022-10-13,8,6
丽水市,2022-10-14,6,0
丽水市,2022-10-15,353,189
丽水市,2022-10-16,24,19
丽水市,2022-10-18,10,9
丽水市,2022-10-19,88,62
丽水市,2022-10-20,142,100
丽水市,2022-10-21,46,39
丽水市,2022-10-22,122,61
丽水市,2022-10-23,8,3
丽水市,2022-10-25,41,31
丽水市,2022-10-26,125,109
丽水市,2022-10-27,59,47
丽水市,2022-10-28,78,67
丽水市,2022-10-29,90,75
丽水市,2022-10-30,241,155
丽水市,2022-10-31,53,41
丽水市,2022-11-01,44,34
丽水市,2022-11-02,23,13
丽水市,2022-11-03,9,3
丽水市,2022-11-04,13,12
丽水市,2022-11-07,6,4
丽水市,2022-11-08,21,4
丽水市,2022-11-09,42,38
丽水市,2022-11-11,7,6
丽水市,2022-11-12,4,4
丽水市,2022-11-14,114,48
丽水市,2022-11-15,82,52
台州市,2021-11-16,543,411
台州市,2021-11-17,1241,905
台州市,2021-11-18,851,530
台州市,2021-11-19,450,189
台州市,2021-11-20,510,291
台州市,2021-11-21,365,308
台州市,2021-11-22,375,217
台州市,2021-11-23,913,644
台州市,2021-11-24,1778,1367
台州市,2021-11-25,758,610
台州市,2021-11-26,1031,792
台州市,2021-11-27,2141,1337
台州市,2021-11-28,1829,1204
台州市,2021-11-29,825,520
台州市,2021-11-30,2435,1902
台州市,2021-12-01,723,443
台州市,2021-12-02,448,276
台州市,2021-12-03,528,279
台州市,2021-12-04,389,241
台州市,2021-12-05,107,101
台州市,2021-12-06,231,124
台州市,2021-12-07,506,338
台州市,2021-12-08,816,636
台州市,2021-12-09,572,365
台州市,2021-12-10,464,316
台州市,2021-12-11,259,147
台州市,2021-12-12,271,238
台州市,2021-12-13,556,395
台州市,2021-12-14,621,481
台州市,2021-12-15,573,350
台州市,2021-12-16,374,107
台州市,2021-12-17,380,248
台州市,2021-12-18,282,218
台州市,2021-12-19,310,267
台州市,2021-12-20,305,187
台州市,2021-12-21,154,62
台州市,2021-12-22,196,105
台州市,2021-12-23,215,28
台州市,2021-12-24,162,93
台州市,2021-12-25,197,150
台州市,2021-12-26,236,57
台州市,2021-12-27,201,15
台州市,2021-12-28,850,471
台州市,2021-12-29,606,365
台州市,2021-12-30,464,332
台州市,2021-12-31,246,204
台州市,2022-01-01,17,1
台州市,2022-01-02,81,50
台州市,2022-01-03,234,160
台州市,2022-01-04,395,275
台州市,2022-01-05,201,160
台州市,2022-01-06,139,81
台州市,2022-01-07,77,26
台州市,2022-01-08,186,160
台州市,2022-01-09,113,106
台州市,2022-01-10,160,53
台州市,2022-01-11,162,103
